Node_Type,Count
<node_value> > <value>,9
wait until <node_value>,2
set <node_value> effect to <node_variable>,2
<node_variable> = <node_variable>,16
<node_variable> > <value>,8
for each <node_variable> in <node_list>,2
<node_variable> + <value>,4
<node_value> + <node_value>,56
<node_value> * <node_value>,28
item # of <node_value>,4
item # of <value> in <node_list>,2
say <value> for <value> seconds,151
say <node_value>,2
switch backdrop to <node_value>,22
start sound <node_value>,32
touching <node>,2
set rotation style <node_value>,5
"if on edge, bounce",3
move <value> steps,39
define <values>,39
