scratch-vm/test/fixtures/cloud_variables_local.sb3,scratch3-hacks,06a5bda642b73a7e6df3cc1be3b8ad69f76fa769
test-projects/SB L1 Working 2.sb3,automated-assessment,006e85d05398858e85d1e019b04a76a9760aa3ed
pset0/Life Could Be a Dream.sb3,cs50-harvard-problem-set-solutions-2020,04fabe6306931c140f26071f18e33c3e37cb19f3
cursoemvideo/algoritmo/aula06/Josy imposto.sb3,cursos,6791b6a2c1850cfd8c2ce417e19415122b378a76
Scratch Project/Completed.sb3,My-Game,40a82b14772df458fecdcdab0769cdf4636b511b
youpy/examples/SimpleBasketBall.sb3,youpy,3c9137dca2b6c2eda874a1336d7cd665f8ec7583
hesap makinesi.sb3,yazilim,a3d8d3ccec7c2600ac8eb08cbfd994239bd11008
act1-grading-scripts/singleSayBlockRight.sb3,automated-assessment,96d46cd9d059022c49bd8ff7f9ecc2104666f4bb
ex04/src/ex04.sb3,Repo02,424eedeb163d363e46d58996374bdc76cebb5f6a
Scratch/Ch4-Sc/Ch4-1.sb3,ourProgramming,35f194f6703ddbdee6ca4b8b353d214955b6ff93
base.sb3,scratch-gcc,4330a6df6bf16401270e9a427ed4646ed17b4862
test/fixtures/load-extensions/confirm-load/videoSensing-simple-project.sb3,sh,b0da504a4bb72c018652facbd6a2286e0343fc84
Scratch/Ch5-Sc/Ch5-1-bubbleSort.sb3,ourProgramming,35f194f6703ddbdee6ca4b8b353d214955b6ff93
psets0/psets0.sb3,harvard-CS50,5eb2fd8e9d4ce819f092ab5ee7aa3d6dd282efdc
code/Sort List.sb3,milestones-team13-cnguyen32-zwiegand,e0b0f41557a97b3fdec70a6b64df7bd1a448d8c9
Week 0/src0/cough4.sb3,learn-cs50x,8d5adf2b549ff8f71c67b70cc0750b6369c55d23
pset0/src0/cough3.sb3,CS50-PSETs,af8c5dc3ff7bd68e1be0d18352e79bba93df7750
fly game.sb3,scratch2020,709f35a384f7d19bde618e81a91bf57f2372b677
scratch/u1l2.sb3,demos,a731e13ff2512b402d060d82352f63cd7c6657d0
