openeducationday2020,src/templates/Lego-WeDo2/Template_WeDo2.sb3,src/templates/Lego-Boost/Kalibrierung_Boost.sb3,fc5007a5747a21da49b3359662c3b91b75624b85
lms,sl-SI/solutions/rock-band-finished.sb3,sl-SI/solutions/rock-band-finished.sb3,09e2f90648389a9aef0fb507ffde8d30bad0d4af
machinelearningforkids,1_CarVsMoto/CarvsMoto.sb3,CarvsMoto.sb3,3cbf0cdd1aec28124de908e64c9e1c5a57e940a1
taxinomitis,mlforkids-scratch/scratch3/static/assets/00e4bc41f78b15dd0f97c81985bf13b1.sb3,mlforkids-static/scratch3/static/assets/0844f955af46db58e75f417bb7be58e4.sb3,b7d6041d7cd234962a07091f76dc9a70fb5df1cd
automated-assessment,test-projects/module3-gaming/animation-L2-test2.sb3,test-projects/module3-gaming/animation-L2-partial.sb3,7b45f16ff7e7a670d20a77ec83b5d4171c83cd10
automated-assessment,act1-grading-scripts/sampel.sb3,act1-grading-scripts/leftCostumeChanged.sb3,96d46cd9d059022c49bd8ff7f9ecc2104666f4bb
kids,computer_sciences/programming_languages/scratch/season01/lesson03/lesson03_ex11_bakhtiyar_space_band.sb3,computer_sciences/programming_languages/scratch/season01/lesson03/lesson03_ex11_bakhtiyar_space_band.sb3,692fc85617e6fb4243a140a1a65bc4dcc329eb30
kids,computer_sciences/programming_languages/scratch/season01/lesson03/lesson03_ex07_f1_fomula.sb3,training/scratch/season01/lesson03/lesson03_ex07_f1_fomula.sb3,1891259804b6b0f62a2c5b78ea5b97781cf976e9
kids,computer_sciences/programming_languages/scratch/season01/lesson03/lesson03_ex19_Poly_Arts_for_Lunar_New_Year.sb3,training/scratch/season01/temp/lesson03/lesson03_ex19_Poly_Arts_for_Lunar_New_Year.sb3,bf5ee2bec7c2c356da7c0dc92beb387c1842c3af
rjmscratch,slimeonnoise.sb3,tree.sb3,41dda34cc6c528a78d8cca18198ad1219b70da5d
kids,computer_sciences/programming_languages/scratch/season01/lesson03/lesson03_ex04_a_train_station.sb3,training/scratch/temp/lesson03/lesson03_ex04_a_train_station.sb3,cb4ebc6e1c544c55ce36e800eb8ceba6191452ff
raghav-sharma,leap_year/Leap_Year.sb3,leap_year/Leap_Year.sb3,91b259643edf5cd6660ff030d4687206b96093b4
HeziScratchCoding,AnimalRace.sb3,AnimalRace.sb3,b864212b4cbd92195f46ecdd3e635a703cb8e8b2
scratch-tutorial-2020,projects/week10/2_Snake_Food_Spawn.sb3,projects/week10/2_Snake_Food_Spawn.sb3,9b4c15c844e84208e3630936af6052d8d855dfb0
kids,computer_sciences/programming_languages/scratch/season01/lesson03/lesson03_ex12_a_flying_cat.sb3,training/programming_languages/scratch/season01/lesson03/lesson03_ex12_a_flying_cat.sb3,0eb433f67e304fc99c49101ff2a995760088d14c
kids,computer_sciences/programming_languages/scratch/season01/lesson04/lesson04_ex03_Transformers.sb3,training/season01/lesson04/lesson04_ex03_Transformers.sb3,d2a1fbd897882a9d8310b7fd2a106042b84de42e
kids,computer_sciences/programming_languages/scratch/season01/lesson03/lesson03_ex02_a_batter.sb3,training/scratch/season01/temp/lesson03/lesson03_ex02_a_batter.sb3,e80ee0487731d88ef8008e902983b5ac611fe43a
kids,computer_sciences/programming_languages/scratch/season01/lesson04/lesson04_ex02_a_chameleon.sb3,training/scratch/temp/lesson04/lesson04_ex02_a_chameleon.sb3,89b3f46c4029325da168084a47f98faaa6564e4e
kids,computer_sciences/programming_languages/scratch/season01/lesson04/lesson04_ex06_alphabet_strokes_KZ.sb3,training/season01/lesson04/lesson04_ex01_Sichuan_opera_face.sb3,1c6bda26395757449d6a22b8e39241863953b6f7
kids,computer_sciences/programming_languages/scratch/season01/lesson03/lesson03_ex22_SDS_New_year._new_plans_2020_edition.sb3,computer_sciences/programming_languages/scratch/season01/lesson03/lesson03_ex22_SDS_New_year._new_plans_2020_edition.sb3,692fc85617e6fb4243a140a1a65bc4dcc329eb30
Gillis,ProblemSet2/scratch.sb3,ProblemSet2/friendly game of baseball.sb3,eb9c8e835c30f0c9649abcc6d6ffc7fc1221cb0c
