Node_Type,Count
when flag clicked,154
show,131
when this sprite clicked,84
broadcast <node_value>,78
set <node_variable> to <value>,142
when i receive <node_value>,144
if <condition> then block,88
hide,169
not <node_variable> = <value>,2
custom script call,72
item <value> of <node_list>,40
item <node_value> of <node_list>,28
<node_value> * <value>,13
<node_value> + <value>,45
custom function call,5
wait <value> seconds,168
if <condition> then block else block,26
<node_variable> = <value> operator node,2
define <nodes_value>,2
created by <value>,15
description <value>,13
set size to <node_value> %,5
go to <node_value> layer,6
go to x <node_value> y <node_value>,6
<node_value> = <value> operator,3
delete this clone,11
for each <node_value> in <node_value>,7
switch costume to <node_value>,85
join <node_value> <node_value>,17
change y by <value>,37
item <node_value>  of <node_list>,16
<node_variable> * <value>,36
go to x: <value> y:<value>,2
set size to <value> %,5
define <node_values>,27
set <node_variables> to <value>,4
if <condition> then,8
length of <node_list>,3
length of <node_value>,7
item <node_variable> of <node_list>,29
change x by <node_value>,6
change y by <node_value>,6
letter <node_variable> of <node_value>,37
item <value> of <node_value>,12
go to x: <value> y: <value>,21
set <node_value> to <value>,12
set size to <node> %,2
go to <node> layer,2
go to x: <node_value> y: <node_value>,13
create clone of <node_value>,10
<value> - <node_value>,3
item of <node_list>,6
letter <node_value> of <nod_value>,2
<value> + <value>,2
node_variable,17
set <node_variable> to <node_value>,53
repeat until <condition>,20
letter of <node_value>,4
<node_value> = <node_value>,9
<node_value> = <value>,24
change <node_variable> by <value>,37
add <node_value> to <node_list>,3
letter <value> of <node_value>,4
<node_value>=<node_value>,2
node_variables,24
delete all of <nodes_value>,2
not <node_value>,33
<node_value>=<value>,10
<node_value> of <node_value>,15
<node_value> and <node_value>,9
add <value> to <node_list>,18
delete all of <node_list>,15
<node_value> > <node_value>,2
wait until <node_variable>,2
set volume to <value> %,7
set <node_value> effect to <node_value>,2
play sound <node_value> until done,35
node_varible,2
<node_variable> = <value>,52
<node_variable>=<node_variable>,4
pick random <node_value> to <node_value>,6
for each <node_variable> in <node_value>,10
<node_value> contains <node_value>,4
join <node_values> <node_values>,2
when i receive <node_values>,2
set <node_variable>to <node_value>,2
reset timer,3
<node_variable>  >  value,2
join <node_value> <value>,7
go to x:<value>y:<value>,2
change <node_value> by <value>,2
length of <node_variable>,7
join <node_variable> <node_value>,9
<node_value> - <node_value>,2
<node_value> contains <node_value> ?,2
pen extension api call <erase all>,8
if <condition_node> then block,4
stop <node_value>,20
pen extension api call <stamp>,13
<node_variable> =  <value>,4
pen extension api <erase all>,9
pen extension api <stamp>,8
when i receive <node_changes>,2
pen extension api call,7
forever block,35
<node_value> or <node_value>,10
pick random <value> to <value>,3
broadcast <node_valaue>,2
when i receive <node_change>,2
next costume,57
<node_value> = <node_variable>,14
join <node_variable><value>,2
join <node_variable> <value>,3
<node_variable> = <node_value>,3
if <node_variable> = <value>,4
ask <value> and wait,15
pen extension api <eraseall>,2
not <node_variable>,2
broadcast <node_values>,5
join <value> <node_value>,3
replace item <node_variable> of <node_list> with <node_value>,4
<node_value> > <value>,5
wait until <node_val>,2
set <node_value> effect to <node_variable>,2
<node_variable> = <node_variable>,14
<node_variable> > <value>,3
<node_value> -  <node_value>,2
set size to <node_value>,2
for each <node_variable> in <node_list>,2
<node_variable> + <value>,3
<node_value> + <node_value>,12
<node_value> * <node_value>,14
if <node_value> then,2
item # of <node_value>,2
if  <condition> then block,6
item # of <value> in <node_list>,2
say <value> for <value> seconds,129
say <node_value>,2
switch backdrop to <node_value>,8
start sound <node_value>,15
touching <node>,2
set rotation style <node_value>,2
"if on edge, bounce",2
move <value> steps,17
define <values>,11
<node_variable> + <node_value>,6
when <node_value> key pressed,6
set <node_variable> to <variable>,9
round <node_value>,6
<node_variable> / <value>,6
key <node_value> pressed,8
<node_value> - <value>,6
pick random <value> to <node_value>,4
<node_variable> - <value>,8
<node_value> < <value>,4
<node_value> > <node_variable>,4
<node_value> * <node_variable>,4
set <node_variable> to <node_list>,2
repeat <node_value>,3
if <node_variable> then block else block,2
set <node_variable> to <node_variable>,9
change <node_variab le> by <value>,2
custom script,2
hide variable <variable_name>,6
<node_variable> and <node_variable>,2
show variable <node_variable>,6
<node_variable> < <node_variable>,2
set volume to <node_variable> %,3
repeat <value>,35
<node_variable> < <value>,6
say <value>,5
turn right <value> degrees,8
point in direction <value>,6
label,9
turn left <value> degrees,4
move <node_value> steps,2
turn right <node_value> degrees,3
<value> / <node_value>  degrees,2
pen extension api call <pen down>,2
pen extension api call <set pen size to <value>>,2
repeat <node_variable>,4
pen extension api call <set pen <node_value>to <node_value>>,2
<value>  / <node_variable>,2
say <node_value> for <value> seconds,2
<node_value>* <node_variable>,2
stop <node_variable>,3
go to x: <node_variable> y: <node_variable>,8
f <condition> then block,2
when i start as a clone,5
touching <node_value> ?,9
<node_value> of <node_variable>,3
move <node_variable> steps,3
change <node_variable> by <node_variable>,3
hide variable <node_variable>,6
repeat until <node_value>,3
change <node_variable> by <node_value>,6
say <node_variable>,2
when backdrop switches to <node_value>,13
glide <value> secs to x: <value> y: <value>,9
touching <node_value>,2
think <value> for <value> seconds,13
go to <node_value>,16
forever,3
change <node_value> effect by <value>,2
